Unnamed: 0,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
0,BANDUNDU_AC_2025,BANDUNDU,220000,False,substation,False,transmission,0.0,16.81502,-3.7863,CD,POINT (16.81502 -3.7863),True
1,BOMA_AC_2025,BOMA,220000,False,substation,False,transmission,0.0,13.06105,-5.77658,CD,POINT (13.06105 -5.77658),True
2,BUKAVU_RUZIZI_AC_2025,BUKAVU_RUZIZI,220000,False,substation,False,transmission,0.0,28.79645,-2.54499,CD,POINT (28.79645 -2.54499),True
3,GBADOLITE_AC_2025,GBADOLITE,220000,False,substation,False,transmission,0.0,21.1854,4.3056,CD,POINT (21.1854 4.3056),True
4,GOMA_AC_2025,GOMA,220000,False,substation,False,transmission,0.0,29.20767,-1.645,CD,POINT (29.20767 -1.645),True
5,MATADI_INGA_AC_2025,MATADI_INGA,220000,False,substation,False,transmission,0.0,13.6229,-5.5219,CD,POINT (13.6229 -5.5219),True
6,MATADI_INGA_DC_2025,MATADI_INGA,500000,True,substation,False,transmission,0.0,13.6229,-5.5219,CD,POINT (13.6229 -5.5219),False
7,KALEMIE_AC_2025,KALEMIE,220000,False,substation,False,transmission,0.0,29.062,-5.47635,CD,POINT (29.062 -5.47635),True
8,KAMINA_DC_2025,KAMINA,500000,True,substation,False,transmission,0.0,25.05463,-8.54237,CD,POINT (25.05463 -8.54237),False
9,KANANGA_AC_2025,KANANGA,220000,False,substation,False,transmission,0.0,22.4484,-5.9904,CD,POINT (22.4484 -5.9904),True
10,KANANGA_DC_2025,KANANGA,500000,True,substation,False,transmission,0.0,22.4484,-5.9904,CD,POINT (22.4484 -5.9904),False
11,KIKWIT_KAKOBOLA_AC_2025,KIKWIT_KAKOBOLA,220000,False,substation,False,transmission,0.0,18.7936,-5.0942,CD,POINT (18.7936 -5.0942),True
12,KIKWIT_KAKOBOLA_DC_2025,KIKWIT_KAKOBOLA,500000,True,substation,False,transmission,0.0,18.7936,-5.0942,CD,POINT (18.7936 -5.0942),False
13,KINDU_AC_2025,KINDU,220000,False,substation,False,transmission,0.0,26.6208,-2.6416,CD,POINT (26.6208 -2.6416),True
14,KINSHASA_AC_2025,KINSHASA,220000,False,substation,False,transmission,0.0,15.33906,-4.42721,CD,POINT (15.33906 -4.42721),True
15,KISANGANI_AC_2025,KISANGANI,220000,False,substation,False,transmission,0.0,25.1898,0.5792,CD,POINT (25.1898 0.5792),True
16,KISENGE_AC_2025,KISENGE,220000,False,substation,False,transmission,0.0,23.62,-10.56,CD,POINT (23.62 -10.56),True
17,KOLWEZI_AC_2025,KOLWEZI,220000,False,substation,False,transmission,0.0,25.33183,-10.5661,CD,POINT (25.33183 -10.5661),True
18,KOLWEZI_DC_2025,KOLWEZI,500000,True,substation,False,transmission,0.0,25.33183,-10.5661,CD,POINT (25.33183 -10.5661),False
19,LIKASI_AC_2025,LIKASI,220000,False,substation,False,transmission,0.0,26.7369,-11.004,CD,POINT (26.7369 -11.004),True
20,LUBUMBASHI_AC_2025,LUBUMBASHI,220000,False,substation,False,transmission,0.0,27.91289,-12.19183,CD,POINT (27.91289 -12.19183),True
21,MANONO_AC_2025,MANONO,220000,False,substation,False,transmission,0.0,28.094,-7.6483,CD,POINT (28.094 -7.6483),True
22,MBANDAKA_AC_2025,MBANDAKA,220000,False,substation,False,transmission,0.0,18.267,0.048,CD,POINT (18.267 0.048),True
23,MBUJI_MAYI_AC_2025,MBUJI_MAYI,220000,False,substation,False,transmission,0.0,23.6937,-6.11805,CD,POINT (23.6937 -6.11805),True
24,MBUJI_MAYI_DC_2025,MBUJI_MAYI,500000,True,substation,False,transmission,0.0,23.6937,-6.11805,CD,POINT (23.6937 -6.11805),False
25,ZONGO_AC_2025,ZONGO,220000,False,substation,False,transmission,0.0,14.91708,-4.79643,CD,POINT (14.91708 -4.79643),True
26,ZONGO_DC_2025,ZONGO,500000,True,substation,False,transmission,0.0,14.91708,-4.79643,CD,POINT (14.91708 -4.79643),False
27,SEMLIKI_IVUGHA_AC_2035,SEMLIKI_IVUGHA,220000,False,substation,False,transmission,0.0,29.41,0.31,CD,POINT (29.41 0.31),True
28,BUMBA_AC_2050,BUMBA,220000,False,substation,False,transmission,0.0,22.47,2.18,CD,POINT (22.47 2.18),True
29,ILEBO_AC_2050,ILEBO,220000,False,substation,False,transmission,0.0,20.59,-4.32,CD,POINT (20.59 -4.32),True
30,ISIRO_AC_2050,ISIRO,220000,False,substation,False,transmission,0.0,27.62,2.77,CD,POINT (27.62 2.77),True
31,TSHIKAPA_AC_2050,TSHIKAPA,220000,False,substation,False,transmission,0.0,20.79,-6.42,CD,POINT (20.79 -6.42),True
