Unnamed: 0,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus,region_id,AnnualGeneration_GWh,FullLoadHours_h
0,Mwadingusha,Hydro,Reservoir,PP,CD,78.0,,50.0,,,,1928.0,,,-10.7452,27.2447,,,,,,
1,Zilo,Hydro,Reservoir,PP,CD,108.0,,50.0,,,,1952.0,,,-10.4998,25.4631,,,,,,
2,Zongo,Hydro,Run-Of-River,PP,CD,225.0,,,,,,1955.0,,,-4.7823,14.9045,,,,,,
3,Koni,Hydro,Reservoir,PP,CD,35.5,,50.0,,,,1950.0,,,-10.7184,27.2839,,,,,,
4,Ruzizi I,Hydro,Run-Of-River,PP,CD,31.1,,,,,,1958.0,,,-2.6334,28.9027,,,,,,
5,Inga I+II,Hydro,Reservoir,PP,CD,1775.0,,50.0,,,,1972.0,,,-5.5218,13.6213,,,,,,
6,Seke,Hydro,Reservoir,PP,CD,260.0,,50.0,,,,1956.0,,,-10.3046,25.4059,,,,,,
7,Ruzizi II,Hydro,Reservoir,PP,CD,26.5,,50.0,,,,1958.0,,,-2.509,28.8753,,,,,,
8,Katende,Hydro,Run-Of-River,PP,CD,64.0,,,,,,2016.0,,,-6.3581,22.4472,,,,,,
9,Rutshuru,Hydro,Reservoir,PP,CD,13.8,,50.0,,,,2015.0,,,-1.2258,29.46,,,,,,
10,Busanga,Hydro,Reservoir,PP,CD,240.0,,50.0,,,,2021.0,,,-10.0904,25.3931,,,,,,
11,Piana Mwanga,Hydro,Run-Of-River,PP,CD,54.0,,,,,,2015.0,,,-7.6486,28.0933,,,,,,
12,Nzoro,Hydro,Run-Of-River,PP,CD,28.4,,,,,,2015.0,,,3.3125,29.4886,,,,,,
13,Tshopo,Hydro,Run-Of-River,PP,CD,19.7,,,,,,2015.0,,,0.5381,25.186,,,,,,
14,Bendera,Hydro,Run-Of-River,PP,CD,17.2,,,,,,2015.0,,,-5.0335,28.9492,,,,,,
15,Luviro,Hydro,Run-Of-River,PP,CD,14.6,,,,,,2015.0,,,-0.0946,29.0491,,,,,,
16,Rwanguba,Hydro,Run-Of-River,PP,CD,14.0,,,,,,2015.0,,,-1.2315,29.4691,,,,,,
17,Talihya-Nord I,Hydro,Run-Of-River,PP,CD,13.8,,,,,,2015.0,,,0.1164,29.4307,,,,,,
18,Budana,Hydro,Run-Of-River,PP,CD,12.5,,,,,,2015.0,,,1.5619,30.1632,,,,,,
19,Mobayi-Mbongo,Hydro,Run-Of-River,PP,CD,11.4,,,,,,2015.0,,,4.3078,21.1842,,,,,,
20,Sanga,Hydro,Run-Of-River,PP,CD,11.0,,,,,,2015.0,,,-4.8422,14.9585,,,,,,
21,Azambi,Hydro,Run-Of-River,PP,CD,10.1,,,,,,2015.0,,,3.1904,29.4982,,,,,,
22,Kilubi,Hydro,Run-Of-River,PP,CD,9.9,,,,,,2015.0,,,-8.0413,25.2758,,,,,,
23,Kakobola,Hydro,Run-Of-River,PP,CD,9.0,,,,,,2015.0,,,-5.6465,19.0605,,,,,,
24,Tshiala II,Hydro,Run-Of-River,PP,CD,6.0,,,,,,2015.0,,,-6.0804,23.7729,,,,,,
25,Lutshurukuru,Hydro,Run-Of-River,PP,CD,5.6,,,,,,2015.0,,,-2.6425,26.6212,,,,,,
26,Kalule,Hydro,Run-Of-River,PP,CD,2.0,,,,,,2015.0,,,-9.9627,25.9037,,,,,,
27,Punia,Hydro,Reservoir,PP,CD,2.0,,50.0,,,,2015.0,,,-1.4259,26.4935,,,,,,
28,Lungudi,Hydro,Run-Of-River,PP,CD,1.5,,,,,,2015.0,,,-6.5015,20.8895,,,,,,
29,Mutwanga,Hydro,Run-Of-River,PP,CD,1.4,,,,,,2015.0,,,0.3417,29.7583,,,,,,
30,Lubudi,Hydro,Run-Of-River,PP,CD,1.0,,,,,,2015.0,,,-10.0055,25.8939,,,,,,
31,Soleniama,Hydro,Run-Of-River,PP,CD,5.0,,,,,,2015.0,,,1.6379,30.2625,,,,,,
32,Katwakirundi,Hydro,Run-Of-River,PP,CD,5.0,,,,,,2015.0,,,0.0594,29.3077,,,,,,
33,Zulu,Hydro,Run-Of-River,PP,CD,5.0,,,,,,2015.0,,,3.3855,20.2104,,,,,,
34,Mugombe,Hydro,Run-Of-River,PP,CD,5.0,,,,,,2015.0,,,-3.0581,28.246,,,,,,
